wavelength_nm,maximum_dimension_um,effective_diameter_um,effective_radius_um,ice_habit,surface_roughness,mass_extinction_coefficient_m2_kg,single_scattering_albedo,asymmetry_parameter,source_dataset,source_version,source_record_provenance
600,7.0,0.8547727439684334,0.4273863719842167,10_plates,Rough000,4023.831961017366,0.99999995,0.89378174,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,EXACT_SOURCE_WAVELENGTH
650,7.0,0.8547727439684334,0.4273863719842167,10_plates,Rough000,3964.2842885733967,0.99999988,0.89350792,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,EXACT_SOURCE_WAVELENGTH
700,7.0,0.8547727439684334,0.4273863719842167,10_plates,Rough000,3877.0151151908294,0.99999978,0.89012103,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,EXACT_SOURCE_WAVELENGTH
750,7.0,0.8547727439684334,0.4273863719842167,10_plates,Rough000,3748.990690906416,0.99999957,0.88501845,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,EXACT_SOURCE_WAVELENGTH
650,8.0,0.9768831823605534,0.4884415911802767,10_plates,Rough000,3543.543307021313,0.99999987,0.8932166,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,EXACT_SOURCE_WAVELENGTH
700,8.0,0.9768831823605534,0.4884415911802767,10_plates,Rough000,3499.123607791768,0.99999975,0.89445646,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,EXACT_SOURCE_WAVELENGTH
750,8.0,0.9768831823605534,0.4884415911802767,10_plates,Rough000,3452.5759826822527,0.99999952,0.89391605,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,EXACT_SOURCE_WAVELENGTH
550,8.0,0.97688351847806,0.48844175923903,10_plates,Rough000,4075.5366031099516,0.99999998,0.8703,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,EXACT_SOURCE_WAVELENGTH
575,8.0,0.97688351847806,0.48844175923903,10_plates,Rough000,3991.6752873677133,0.9999999749999999,0.8697,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,LINEAR_WAVELENGTH_INTERPOLATION_WITHIN_SOURCE_GRID:0.570000-0.580000um
600,8.0,0.97688351847806,0.48844175923903,10_plates,Rough000,3879.2849052905967,0.99999996,0.869,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,EXACT_SOURCE_WAVELENGTH
750,9.0,1.098993535301422,0.549496767650711,10_plates,Rough000,3130.9393099614263,0.99999946,0.89467059,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,EXACT_SOURCE_WAVELENGTH
